Data Zone,Local Authority Code,Local Authority Name,Intermediate Geography name,Nearest settlement*,Total Population (SAPE 2010),"Best-fit Working Age Population** (men 16-64, women 16-60 SAPE 2010)",Overall SIMD 2012 Score,Overall SIMD 2012 Rank,Income domain 2012 rate (%),Number of Income Deprived People 2012,Income domain 2012 rank,Employment domain 2012 rate (%),Number of Employment Deprived People 2012 ,Employment domain 2012 rank,Health domain 2012 score,Health domain 2012 rank,"Education, Skills and Training domain 2012 score","Education, Skills and Training domain 2012 rank","Housing domain score 2004, 2006, 2009 & 2012","Housing domain rank 2004, 2006, 2009 & 2012",Geographic Access domain 2012 score,Geographic Access domain 2012 rank,SIMD Crime 2012 score,SIMD Crime 2012 rank
S01000085,100,Aberdeen City,Aberdeen City - Ferryhill North,Aberdeen,616,530,12.78,4082,6,40,4763,7,40,4453,0.12,2872,0.35,2337,47.5,398,2.27,6006,430,2190
S01000086,100,Aberdeen City,Aberdeen City - Ferryhill North,Aberdeen,775,575,4.71,6003,3,25,5991,3,15,6271,-0.61,4858,-0.84,5370,14.96,3489,10.97,4134,428,2206
S01000087,100,Aberdeen City,"Aberdeen City - Braeside, Mannofield, Broomhill and Seafield North",Aberdeen,1074,739,3.22,6320,2,20,6300,1,15,6453,-0.84,5381,-1.23,5965,6.36,5647,16.81,3118,203,4093
S01000088,100,Aberdeen City,Aberdeen City - Ferryhill North,Aberdeen,847,674,4.76,5993,4,40,5362,4,25,5916,-0.74,5161,-0.64,4915,15.46,3358,5.06,5356,232,3799
S01000089,100,Aberdeen City,Aberdeen City - Hazlehead,Aberdeen,957,529,3.81,6219,1,10,6437,1,10,6474,-1.19,5977,-1.79,6403,3.01,6259,33.28,1389,124,5114
S01000090,100,Aberdeen City,Aberdeen City - West End South,Aberdeen,786,554,3.35,6296,3,25,5904,2,10,6428,-0.79,5290,-1.59,6294,18.5,2595,7.42,4857,324,2960
S01000091,100,Aberdeen City,Aberdeen City - West End South,Aberdeen,1083,874,11.17,4453,7,70,4625,7,55,4699,0.26,2497,-0.3,4017,35.28,776,2.77,5875,440,2126
S01000092,100,Aberdeen City,Aberdeen City - West End South,Aberdeen,800,659,5.79,5727,4,30,5606,4,25,5887,-0.88,5470,-0.49,4526,32.78,920,1.6,6159,537,1656
S01000093,100,Aberdeen City,Aberdeen City - Ferryhill North,Aberdeen,680,544,11.32,4405,7,50,4461,8,45,4063,-0.23,3823,-0.29,3970,33.46,878,6.76,5014,448,2075
S01000094,100,Aberdeen City,Aberdeen City - City Centre,Aberdeen,683,578,7.12,5400,4,30,5496,4,25,5802,-0.86,5419,-0.07,3366,24.35,1656,1.14,6255,679,1106
S01000095,100,Aberdeen City,Aberdeen City - West End South,Aberdeen,817,625,2.63,6413,3,30,5806,3,15,6281,-1.29,6117,-1.23,5968,21.05,2102,0.95,6304,240,3699
S01000096,100,Aberdeen City,Aberdeen City - Hazlehead,Aberdeen,707,388,27.78,1793,16,115,2227,21,85,1309,0.74,1305,-0.06,3341,19.12,2471,26.16,1958,371,2585
S01000097,100,Aberdeen City,Aberdeen City - West End North,Aberdeen,1206,833,2.55,6428,1,15,6440,1,10,6489,-1.04,5754,-1.33,6073,7.64,5397,12.14,3920,275,3361
S01000098,100,Aberdeen City,Aberdeen City - City Centre,Aberdeen,1138,973,28.74,1703,11,130,3245,15,150,2207,1.31,425,0.34,2376,40.92,584,3.8,5639,3311,19
S01000099,100,Aberdeen City,Aberdeen City - Hazlehead,Aberdeen,872,517,3.13,6341,1,15,6400,2,10,6411,-1.18,5956,-1.23,5966,1.44,6444,22.78,2333,131,5032
S01000100,100,Aberdeen City,Aberdeen City - City Centre,Aberdeen,839,710,20.33,2693,10,80,3672,9,65,3678,0.96,892,-0.31,4029,21.01,2110,2.56,5937,3184,23
S01000101,100,Aberdeen City,Aberdeen City - West End North,Aberdeen,947,675,4.78,5991,2,15,6381,2,15,6387,-0.96,5627,-1.45,6209,14.69,3560,3.18,5787,1294,253
S01000102,100,Aberdeen City,Aberdeen City - City Centre,Aberdeen,785,577,28.08,1760,15,120,2461,18,100,1822,0.87,1038,0.41,2204,29.85,1129,0.76,6350,1736,113
S01000103,100,Aberdeen City,Aberdeen City - City Centre,Aberdeen,611,499,3.88,6201,2,10,6335,1,10,6466,-1.39,6217,-0.87,5439,34.49,828,0.41,6431,696,1044
S01000104,100,Aberdeen City,Aberdeen City - West End North,Aberdeen,932,570,3.31,6302,1,5,6487,1,5,6484,-0.79,5283,-1.95,6450,2.69,6315,24.8,2102,128,5061
S01000105,100,Aberdeen City,Aberdeen City - Hazlehead,Aberdeen,809,521,5.59,5784,2,15,6377,4,20,5875,-0.73,5137,-1,5678,5.76,5760,33.07,1408,197,4165
S01000106,100,Aberdeen City,Aberdeen City - West End North,Aberdeen,795,529,2.43,6439,1,10,6419,1,5,6482,-1.18,5967,-2.34,6500,5.81,5750,18.18,2914,152,4752
S01000107,100,Aberdeen City,Aberdeen City - City Centre,Aberdeen,1019,887,18.31,3020,9,90,3998,9,80,3806,0.15,2789,0.27,2526,41.96,546,2.09,6057,6268,5
S01000108,100,Aberdeen City,Aberdeen City - Hanover,Aberdeen,670,491,24.82,2112,14,95,2672,12,55,3020,0.75,1287,0.46,2088,35.89,753,14.83,3437,1329,235
S01000109,100,Aberdeen City,Aberdeen City - City Centre,Aberdeen,1100,866,17.29,3183,7,75,4602,8,75,4055,0.54,1771,-0.24,3824,47.68,393,1.93,6079,7529,2
S01000110,100,Aberdeen City,Aberdeen City - Summerhill,Aberdeen,814,406,12.27,4189,8,70,4037,6,25,4941,0.28,2440,-0.08,3371,12.13,4308,17.95,2950,207,4055
S01000111,100,Aberdeen City,Aberdeen City - Rosemount,Aberdeen,723,485,3.71,6241,2,20,6142,4,15,5988,-0.49,4547,-1.41,6167,10.88,4644,5.86,5194,328,2921
S01000112,100,Aberdeen City,Aberdeen City - Rosemount,Aberdeen,1000,749,18.74,2947,11,105,3423,11,85,3143,0.33,2326,0.42,2168,33.4,882,1.78,6109,821,754
S01000113,100,Aberdeen City,Aberdeen City - Midstocket,Aberdeen,613,412,1.57,6490,2,15,6158,2,10,6363,-1.46,6263,-2.26,6495,6.06,5693,6.73,5022,155,4716
S01000114,100,Aberdeen City,Aberdeen City - Summerhill,Aberdeen,795,525,24.82,2113,15,120,2421,15,80,2239,0.27,2464,0.66,1593,21.05,2102,22.89,2320,627,1279
S01000115,100,Aberdeen City,Aberdeen City - Summerhill,Aberdeen,836,503,21.99,2434,15,130,2396,15,75,2225,0.43,2050,0.23,2627,24.86,1601,9.9,4339,358,2673
S01000116,100,Aberdeen City,Aberdeen City - Rosemount,Aberdeen,1157,983,4.15,6142,3,35,6027,3,30,6171,-1.49,6285,-0.46,4433,42.89,521,1.53,6176,294,3205
S01000117,100,Aberdeen City,Aberdeen City - Midstocket,Aberdeen,959,577,6.26,5618,5,50,5019,2,10,6315,0.32,2352,-2.03,6472,6.48,5629,10.34,4249,122,5135
S01000118,100,Aberdeen City,Aberdeen City - Summerhill,Aberdeen,662,387,17.06,3216,9,60,3768,11,45,3273,0.54,1762,0.05,3060,20.77,2142,5.12,5346,649,1207
S01000119,100,Aberdeen City,Aberdeen City - Rosemount,Aberdeen,791,605,24.24,2176,15,115,2563,15,90,2242,0.73,1342,0.35,2341,44.4,479,0.83,6333,804,787
S01000120,100,Aberdeen City,Aberdeen City - Rosemount,Aberdeen,518,369,5.65,5764,6,30,4837,4,15,5886,-0.81,5338,-1.49,6238,25.96,1480,6.6,5055,421,2245
S01000121,100,Aberdeen City,Aberdeen City - Midstocket,Aberdeen,714,418,14.21,3799,9,60,4021,13,55,2712,0.26,2482,-0.63,4886,11.97,4333,14.04,3592,134,4990
S01000122,100,Aberdeen City,Aberdeen City - Summerhill,Aberdeen,698,433,27.46,1824,14,100,2667,17,70,1899,0.85,1086,0.57,1829,19.24,2447,24.76,2109,634,1248
S01000123,100,Aberdeen City,Aberdeen City - Kingswells,Kingswells,675,414,5.9,5693,2,15,6185,4,15,5754,-0.79,5288,-0.95,5591,7.72,5381,35.15,1268,133,5002
S01000124,100,Aberdeen City,Aberdeen City - Rosemount,Aberdeen,1268,1112,9.57,4827,5,65,5112,5,60,5194,-0.21,3749,-0.19,3675,53.1,278,1.32,6221,576,1507
S01000125,100,Aberdeen City,Aberdeen City - George Street,Aberdeen,1037,765,21.65,2496,14,140,2744,10,75,3537,0.57,1718,0.63,1661,33.4,881,3.04,5819,970,504
S01000126,100,Aberdeen City,Aberdeen City - Hanover,Aberdeen,837,616,30.63,1550,18,155,1813,16,95,2170,1.21,521,0.39,2245,41.11,577,4.3,5519,1199,300
S01000127,100,Aberdeen City,Aberdeen City - Midstocket,Aberdeen,743,482,1.63,6489,1,10,6426,2,10,6386,-1.27,6088,-1.69,6346,2.63,6321,9.05,4520,161,4628
S01000128,100,Aberdeen City,Aberdeen City - George Street,Aberdeen,2052,1878,9.16,4921,5,95,5291,5,100,5153,-0.5,4581,-0.4,4299,52.69,286,1.62,6149,866,666
S01000129,100,Aberdeen City,Aberdeen City - George Street,Aberdeen,875,816,6.06,5660,1,10,6436,2,15,6424,-1.41,6231,0.16,2809,47.72,390,1.93,6078,613,1329
S01000130,100,Aberdeen City,Aberdeen City - Hanover,Aberdeen,1277,1045,16.78,3260,7,90,4467,10,105,3532,0.5,1876,0.36,2317,39.19,631,4.46,5479,688,1072
S01000131,100,Aberdeen City,Aberdeen City - Midstocket,Aberdeen,613,432,4.2,6130,3,15,6063,3,15,6152,-0.72,5132,-1.06,5757,21.55,2013,9.92,4334,328,2919
S01000132,100,Aberdeen City,Aberdeen City - Rosemount,Aberdeen,709,566,7.79,5229,6,40,4949,6,35,4825,-0.37,4249,-0.81,5304,28.48,1225,4.17,5548,388,2463
S01000133,100,Aberdeen City,Aberdeen City - Sheddocksley,Aberdeen,655,385,25.22,2068,18,115,1940,16,60,2171,0.54,1760,0.24,2609,22.12,1928,16.24,3209,605,1361
S01000134,100,Aberdeen City,Aberdeen City - Mastrick,Aberdeen,710,432,34.98,1223,22,155,1291,20,85,1460,1.01,806,0.95,990,25.98,1476,7.62,4816,683,1089
S01000135,100,Aberdeen City,Aberdeen City - George Street,Aberdeen,680,478,37.35,1086,23,160,1135,24,115,839,0.75,1282,0.88,1133,36.48,726,0.75,6353,792,804
