Data Zone,Local Authority Code,Police Force Area,SIMD Crime 2012 rank,SIMD Crime 2012 count,"SIMD Crimes per 10,000 total population",,Notes
S01000517,110,Grampian,3873,16,223,,
S01005774,380,Strathclyde,3874,16,223,,
S01002509,240,Central,3875,23,223,,
S01005463,355,Lothian and Borders,3876,14,223,,
S01001427,200,Strathclyde,3877,19,223,,
S01004130,290,Lothian and Borders,3878,12,222,,
S01005435,355,Lothian and Borders,3879,23,222,,
S01001268,180,Tayside,3880,14,222,,
S01002506,240,Central,3881,18,222,,
S01005877,380,Strathclyde,3882,19,222,,
S01003341,260,Strathclyde,3883,24,222,,
S01005253,350,Strathclyde,3884,12,222,,
S01004198,290,Lothian and Borders,3885,13,222,,
S01005340,350,Strathclyde,3886,14,222,,
S01005457,355,Lothian and Borders,3887,19,222,,
S01004248,300,Grampian,3888,22,222,,
S01000434,110,Grampian,3889,13,222,,
S01002836,250,Fife,3890,12,222,,
S01001311,190,Strathclyde,3891,14,221,,
S01001526,200,Strathclyde,3892,15,221,,
S01004047,280,Strathclyde,3893,15,221,,
S01002040,230,Lothian and Borders,3894,17,221,,
S01001084,170,Dumfries & Galloway,3895,21,220,,
S01005101,340,Tayside,3896,21,220,,
S01004326,300,Grampian,3897,17,220,,
S01005672,380,Strathclyde,3898,17,220,,
S01004841,320,Strathclyde,3899,17,220,,
S01004858,320,Strathclyde,3900,18,220,,
S01002470,240,Central,3901,21,220,,
S01000932,170,Dumfries & Galloway,3902,23,220,,
S01003723,270,Northern,3903,13,220,,
S01000855,150,Central,3904,16,220,,
S01000050,100,Grampian,3905,15,220,,
S01005711,380,Strathclyde,3906,19,220,,
S01005375,355,Lothian and Borders,3907,20,220,,
S01001530,200,Strathclyde,3908,18,220,,
S01003861,270,Northern,3909,17,220,,
S01005321,350,Strathclyde,3910,12,219,,
S01002597,250,Fife,3911,11,219,,
S01001070,170,Dumfries & Galloway,3912,21,219,,
S01000645,120,Tayside,3913,21,219,,
S01005685,380,Strathclyde,3914,15,219,,
S01005979,380,Strathclyde,3915,18,219,,
S01000303,110,Grampian,3916,13,219,,
S01001729,220,Strathclyde,3917,21,218,,
S01001552,210,Lothian and Borders,3918,20,218,,
S01000547,110,Grampian,3919,11,218,,
S01004576,320,Strathclyde,3920,11,218,,
S01002997,250,Fife,3921,16,218,,
S01001322,190,Strathclyde,3922,19,218,,
S01005204,350,Strathclyde,3923,11,218,,
S01000433,110,Grampian,3924,12,218,,
S01005715,380,Strathclyde,3925,15,218,,
S01006365,400,Lothian and Borders,3926,20,218,,
S01000838,150,Central,3927,15,218,,
S01001454,200,Strathclyde,3928,20,218,,
S01004202,290,Lothian and Borders,3929,12,218,,
S01000972,170,Dumfries & Galloway,3930,20,217,,
S01006354,400,Lothian and Borders,3931,21,217,,
S01006171,390,Central,3932,19,217,,
S01001810,230,Lothian and Borders,3933,19,217,,
S01000493,110,Grampian,3934,14,217,,
S01003865,270,Northern,3935,20,217,,
S01001276,190,Strathclyde,3936,13,217,,
S01000629,120,Tayside,3937,20,217,,
S01001701,220,Strathclyde,3938,20,217,,
S01002680,250,Fife,3939,22,217,,
S01002870,250,Fife,3940,19,216,,
S01002569,240,Central,3941,31,216,,
S01000279,110,Grampian,3942,21,216,,
S01002151,230,Lothian and Borders,3943,32,216,,
S01005564,370,Strathclyde,3944,18,216,,
S01005783,380,Strathclyde,3945,13,216,,
S01000916,170,Dumfries & Galloway,3946,21,216,,
S01001046,170,Dumfries & Galloway,3947,15,216,,
S01000650,120,Tayside,3948,15,216,,
S01002182,230,Lothian and Borders,3949,17,216,,
S01002030,230,Lothian and Borders,3950,19,216,,
S01002989,250,Fife,3951,20,216,,
S01000510,110,Grampian,3952,13,216,,
S01000373,110,Grampian,3953,15,216,,
