Data Zone,Local Authority Code,Police Force Area,SIMD Crime 2012 rank,SIMD Crime 2012 count,"SIMD Crimes per 10,000 total population",,Notes
S01003406,260,Strathclyde,3505,17,259,,
S01000758,130,Strathclyde,3506,33,259,,
S01001133,180,Tayside,3507,27,259,,
S01005528,370,Strathclyde,3508,14,259,,
S01001702,220,Strathclyde,3509,23,259,,
S01004876,320,Strathclyde,3510,24,259,,
S01004289,300,Grampian,3511,14,259,,
S01005641,370,Strathclyde,3512,25,258,,
S01004549,320,Strathclyde,3513,45,258,,
S01005474,355,Lothian and Borders,3514,21,258,,
S01004340,300,Grampian,3515,13,258,,
S01002098,230,Lothian and Borders,3516,19,258,,
S01001069,170,Dumfries & Galloway,3517,20,258,,
S01004143,290,Lothian and Borders,3518,20,258,,
S01002777,250,Fife,3519,25,258,,
S01002069,230,Lothian and Borders,3520,16,258,,
S01000028,100,Grampian,3521,22,258,,
S01006367,400,Lothian and Borders,3522,20,258,,
S01003235,260,Strathclyde,3523,20,257,,
S01001277,190,Strathclyde,3524,18,257,,
S01001858,230,Lothian and Borders,3525,26,257,,
S01001836,230,Lothian and Borders,3526,24,257,,
S01002955,250,Fife,3527,27,257,,
S01001831,230,Lothian and Borders,3528,18,257,,
S01000775,130,Strathclyde,3529,21,257,,
S01004833,320,Strathclyde,3530,18,257,,
S01005981,380,Strathclyde,3531,17,257,,
S01006252,395,Strathclyde,3532,15,257,,
S01005583,370,Strathclyde,3533,15,257,,
S01002496,240,Central,3534,27,257,,
S01003597,260,Strathclyde,3535,16,256,,
S01006209,395,Strathclyde,3536,18,256,,
S01000691,120,Tayside,3537,19,256,,
S01004627,320,Strathclyde,3538,13,255,,
S01003847,270,Northern,3539,15,255,,
S01001771,220,Strathclyde,3540,22,255,,
S01006059,380,Strathclyde,3541,20,255,,
S01003149,260,Strathclyde,3542,22,255,,
S01002477,240,Central,3543,21,255,,
S01003668,260,Strathclyde,3544,21,255,,
S01004976,340,Tayside,3545,23,255,,
S01000927,170,Dumfries & Galloway,3546,23,255,,
S01003638,260,Strathclyde,3547,20,255,,
S01004306,300,Grampian,3548,14,254,,
S01002350,235,Northern,3549,22,254,,
S01004605,320,Strathclyde,3550,24,254,,
S01000555,110,Grampian,3551,23,254,,
S01001980,230,Lothian and Borders,3552,22,254,,
S01003530,260,Strathclyde,3553,21,254,,
S01000659,120,Tayside,3554,33,254,,
S01006169,390,Central,3555,19,254,,
S01004611,320,Strathclyde,3556,29,254,,
S01002752,250,Fife,3557,14,254,,
S01003613,260,Strathclyde,3558,34,254,,
S01002879,250,Fife,3559,20,254,,
S01005432,355,Lothian and Borders,3560,18,253,,
S01005154,350,Strathclyde,3561,16,253,,
S01005539,370,Strathclyde,3562,22,253,,
S01000795,130,Strathclyde,3563,22,253,,
S01002441,240,Central,3564,16,253,,
S01000317,110,Grampian,3565,13,253,,
S01002376,240,Central,3566,22,253,,
S01006038,380,Strathclyde,3567,20,253,,
S01002490,240,Central,3568,14,253,,
S01000587,120,Tayside,3569,19,253,,
S01004741,320,Strathclyde,3570,15,253,,
S01004809,320,Strathclyde,3571,11,252,,
S01000079,100,Grampian,3572,32,252,,
S01003808,270,Northern,3573,20,252,,
S01001274,190,Strathclyde,3574,18,252,,
S01001793,230,Lothian and Borders,3575,23,252,,
S01005479,355,Lothian and Borders,3576,14,252,,
S01006266,395,Strathclyde,3577,25,252,,
S01000556,110,Grampian,3578,20,252,,
S01002092,230,Lothian and Borders,3579,23,252,,
S01006170,390,Central,3580,23,252,,
S01005173,350,Strathclyde,3581,18,252,,
S01002878,250,Fife,3582,13,251,,
S01006303,400,Lothian and Borders,3583,18,251,,
S01002707,250,Fife,3584,22,251,,
S01000979,170,Dumfries & Galloway,3585,18,251,,
S01002168,230,Lothian and Borders,3586,26,251,,
S01005073,340,Tayside,3587,22,251,,
S01004658,320,Strathclyde,3588,23,251,,
S01005174,350,Strathclyde,3589,18,250,,
S01001755,220,Strathclyde,3590,24,250,,
S01005723,380,Strathclyde,3591,19,250,,
S01005623,370,Strathclyde,3592,18,250,,
S01001626,210,Lothian and Borders,3593,19,250,,
S01002993,250,Fife,3594,27,250,,
S01004337,300,Grampian,3595,17,250,,
S01002134,230,Lothian and Borders,3596,15,250,,
S01006083,390,Central,3597,24,250,,
S01001077,170,Dumfries & Galloway,3598,20,249,,
S01004954,330,Northern,3599,18,249,,
S01006441,400,Lothian and Borders,3600,17,249,,
S01005443,355,Lothian and Borders,3601,29,249,,
S01004484,310,Strathclyde,3602,25,249,,
S01005934,380,Strathclyde,3603,17,249,,
S01005894,380,Strathclyde,3604,17,249,,
S01004229,290,Lothian and Borders,3605,17,249,,
S01001967,230,Lothian and Borders,3606,16,249,,
S01002812,250,Fife,3607,16,249,,
S01001282,190,Strathclyde,3608,19,248,,
S01001910,230,Lothian and Borders,3609,21,248,,
S01005742,380,Strathclyde,3610,23,248,,
S01002026,230,Lothian and Borders,3611,18,248,,
S01004314,300,Grampian,3612,19,248,,
S01001445,200,Strathclyde,3613,17,248,,
S01004136,290,Lothian and Borders,3614,14,248,,
S01003237,260,Strathclyde,3615,23,248,,
S01005713,380,Strathclyde,3616,14,248,,
S01004199,290,Lothian and Borders,3617,20,248,,
S01003661,260,Strathclyde,3618,23,248,,
S01005129,340,Tayside,3619,24,248,,
S01000739,130,Strathclyde,3620,19,247,,
S01001380,190,Strathclyde,3621,19,247,,
S01005450,355,Lothian and Borders,3622,27,247,,
S01003234,260,Strathclyde,3623,21,247,,
S01005093,340,Tayside,3624,18,247,,
S01000403,110,Grampian,3625,17,247,,
S01000590,120,Tayside,3626,19,247,,
S01006070,390,Central,3627,17,247,,
S01005179,350,Strathclyde,3628,22,247,,
S01004014,280,Strathclyde,3629,16,246,,
S01006025,380,Strathclyde,3630,23,246,,
S01000635,120,Tayside,3631,16,246,,
S01000521,110,Grampian,3632,22,246,,
S01003093,260,Strathclyde,3633,23,246,,
S01001221,180,Tayside,3634,32,246,,
S01002661,250,Fife,3635,22,246,,
S01002934,250,Fife,3636,20,246,,
S01001361,190,Strathclyde,3637,15,246,,
S01002370,235,Northern,3638,17,246,,
S01006219,395,Strathclyde,3639,22,246,,
S01005155,350,Strathclyde,3640,19,246,,
S01001419,190,Strathclyde,3641,19,246,,
S01001407,190,Strathclyde,3642,19,246,,
S01004332,300,Grampian,3643,13,246,,
S01002956,250,Fife,3644,18,246,,
S01001009,170,Dumfries & Galloway,3645,14,245,,
S01003648,260,Strathclyde,3646,20,245,,
S01000017,100,Grampian,3647,21,245,,
S01004255,300,Grampian,3648,56,245,,
S01004001,270,Northern,3649,18,245,,
S01001205,180,Tayside,3650,17,245,,
S01002447,240,Central,3651,18,245,,
S01005693,380,Strathclyde,3652,36,245,,
S01002605,250,Fife,3653,14,245,,
S01001189,180,Tayside,3654,22,244,,
S01006459,400,Lothian and Borders,3655,19,244,,
S01005613,370,Strathclyde,3656,19,244,,
S01003013,250,Fife,3657,17,244,,
S01002394,240,Central,3658,18,244,,
S01004944,320,Strathclyde,3659,11,244,,
S01002308,230,Lothian and Borders,3660,24,244,,
S01005671,380,Strathclyde,3661,13,244,,
S01006399,400,Lothian and Borders,3662,17,244,,
S01000623,120,Tayside,3663,16,244,,
S01006184,395,Strathclyde,3664,18,243,,
S01000946,170,Dumfries & Galloway,3665,18,243,,
S01004209,290,Lothian and Borders,3666,14,243,,
S01004485,310,Strathclyde,3667,16,243,,
S01003147,260,Strathclyde,3668,20,243,,
S01004794,320,Strathclyde,3669,17,243,,
S01003085,260,Strathclyde,3670,24,243,,
S01004398,310,Strathclyde,3671,20,243,,
S01001697,220,Strathclyde,3672,20,243,,
S01002810,250,Fife,3673,23,243,,
S01001373,190,Strathclyde,3674,17,243,,
S01000923,170,Dumfries & Galloway,3675,23,243,,
S01002481,240,Central,3676,23,243,,
S01003527,260,Strathclyde,3677,21,242,,
S01003522,260,Strathclyde,3678,21,242,,
S01002110,230,Lothian and Borders,3679,17,242,,
S01003532,260,Strathclyde,3680,24,242,,
S01001821,230,Lothian and Borders,3681,11,242,,
S01003983,270,Northern,3682,16,242,,
S01002933,250,Fife,3683,20,242,,
S01002167,230,Lothian and Borders,3684,15,242,,
S01006414,400,Lothian and Borders,3685,12,241,,
S01006224,395,Strathclyde,3686,14,241,,
S01000766,130,Strathclyde,3687,16,241,,
S01003642,260,Strathclyde,3688,19,241,,
S01005696,380,Strathclyde,3689,16,241,,
S01000774,130,Strathclyde,3690,13,241,,
S01005057,340,Tayside,3691,16,241,,
S01002142,230,Lothian and Borders,3692,25,241,,
S01006215,395,Strathclyde,3693,18,240,,
S01001727,220,Strathclyde,3694,23,240,,
S01001580,210,Lothian and Borders,3695,13,240,,
S01002036,230,Lothian and Borders,3696,23,240,,
S01002214,230,Lothian and Borders,3697,22,240,,
S01001731,220,Strathclyde,3698,14,240,,
S01000095,100,Grampian,3699,20,240,,
S01001428,200,Strathclyde,3700,23,240,,
S01002261,230,Lothian and Borders,3701,26,240,,
S01003122,260,Strathclyde,3702,19,240,,
S01002926,250,Fife,3703,18,239,,
S01004992,340,Tayside,3704,20,239,,
S01005931,380,Strathclyde,3705,18,239,,
S01005149,350,Strathclyde,3706,14,239,,
S01001749,220,Strathclyde,3707,18,239,,
S01000569,120,Tayside,3708,17,239,,
S01000593,120,Tayside,3709,31,239,,
S01001508,200,Strathclyde,3710,23,239,,
S01004792,320,Strathclyde,3711,14,239,,
S01000041,100,Grampian,3712,18,239,,
S01002424,240,Central,3713,22,239,,
S01001023,170,Dumfries & Galloway,3714,25,239,,
S01001393,190,Strathclyde,3715,13,239,,
S01000334,110,Grampian,3716,21,239,,
S01001152,180,Tayside,3717,21,238,,
S01001643,210,Lothian and Borders,3718,18,238,,
S01004132,290,Lothian and Borders,3719,13,238,,
S01002052,230,Lothian and Borders,3720,23,238,,
S01002021,230,Lothian and Borders,3721,24,238,,
S01004459,310,Strathclyde,3722,13,238,,
S01005978,380,Strathclyde,3723,16,238,,
S01000553,110,Grampian,3724,21,238,,
S01003840,270,Northern,3725,17,238,,
S01001992,230,Lothian and Borders,3726,26,238,,
S01000926,170,Dumfries & Galloway,3727,21,238,,
S01004977,340,Tayside,3728,23,238,,
S01003318,260,Strathclyde,3729,18,238,,
S01001815,230,Lothian and Borders,3730,19,238,,
S01000472,110,Grampian,3731,18,237,,
S01000467,110,Grampian,3732,16,237,,
S01002544,240,Central,3733,19,237,,
S01001951,230,Lothian and Borders,3734,22,237,,
S01005555,370,Strathclyde,3735,19,237,,
S01001689,220,Strathclyde,3736,16,237,,
S01000607,120,Tayside,3737,17,237,,
S01003087,260,Strathclyde,3738,15,237,,
S01005544,370,Strathclyde,3739,16,237,,
S01002320,230,Lothian and Borders,3740,14,237,,
S01003129,260,Strathclyde,3741,26,237,,
S01005864,380,Strathclyde,3742,20,237,,
S01003769,270,Northern,3743,21,237,,
S01004281,300,Grampian,3744,16,237,,
S01000789,130,Strathclyde,3745,16,237,,
S01006185,395,Strathclyde,3746,22,236,,
S01002776,250,Fife,3747,23,236,,
S01005835,380,Strathclyde,3748,15,236,,
S01003317,260,Strathclyde,3749,16,236,,
S01001240,180,Tayside,3750,17,236,,
S01001544,200,Strathclyde,3751,21,236,,
S01000614,120,Tayside,3752,16,236,,
S01002803,250,Fife,3753,20,236,,
S01005883,380,Strathclyde,3754,11,236,,
S01002263,230,Lothian and Borders,3755,18,236,,
S01006129,390,Central,3756,17,235,,
S01001598,210,Lothian and Borders,3757,16,235,,
S01004653,320,Strathclyde,3758,15,235,,
S01003037,260,Strathclyde,3759,51,235,,
S01002322,230,Lothian and Borders,3760,17,235,,
S01003325,260,Strathclyde,3761,18,235,,
S01000518,110,Grampian,3762,21,235,,
S01005638,370,Strathclyde,3763,20,235,,
S01006095,390,Central,3764,23,235,,
S01006036,380,Strathclyde,3765,55,235,,
S01003682,260,Strathclyde,3766,25,235,,
S01001576,210,Lothian and Borders,3767,14,235,,
S01001745,220,Strathclyde,3768,20,234,,
S01002049,230,Lothian and Borders,3769,27,234,,
S01001094,180,Tayside,3770,24,234,,
S01004714,320,Strathclyde,3771,16,234,,
S01000895,150,Central,3772,23,234,,
S01001757,220,Strathclyde,3773,19,234,,
S01005164,350,Strathclyde,3774,21,234,,
S01004256,300,Grampian,3775,34,234,,
S01006432,400,Lothian and Borders,3776,16,234,,
S01003795,270,Northern,3777,15,233,,
S01003195,260,Strathclyde,3778,17,233,,
S01002144,230,Lothian and Borders,3779,16,233,,
S01000674,120,Tayside,3780,26,233,,
S01002268,230,Lothian and Borders,3781,16,233,,
S01000702,120,Tayside,3782,11,233,,
S01000214,100,Grampian,3783,11,233,,
S01004520,310,Strathclyde,3784,19,233,,
S01002334,230,Lothian and Borders,3785,22,232,,
S01002583,250,Fife,3786,23,232,,
S01005856,380,Strathclyde,3787,15,232,,
S01000272,110,Grampian,3788,23,232,,
S01000371,110,Grampian,3789,21,232,,
S01005332,350,Strathclyde,3790,12,232,,
S01003631,260,Strathclyde,3791,28,232,,
S01003802,270,Northern,3792,17,232,,
S01005553,370,Strathclyde,3793,19,232,,
S01000462,110,Grampian,3794,23,232,,
S01001089,170,Dumfries & Galloway,3795,23,232,,
S01001624,210,Lothian and Borders,3796,23,232,,
S01000331,110,Grampian,3797,13,232,,
S01003132,260,Strathclyde,3798,21,232,,
S01000088,100,Grampian,3799,20,232,,
S01002516,240,Central,3800,17,232,,
S01005537,370,Strathclyde,3801,18,231,,
S01004370,310,Strathclyde,3802,16,231,,
S01004630,320,Strathclyde,3803,22,231,,
S01006273,395,Strathclyde,3804,13,231,,
S01001718,220,Strathclyde,3805,12,231,,
S01004625,320,Strathclyde,3806,18,231,,
S01003787,270,Northern,3807,15,231,,
S01005358,350,Strathclyde,3808,20,231,,
S01006139,390,Central,3809,12,231,,
S01003178,260,Strathclyde,3810,26,230,,
S01001922,230,Lothian and Borders,3811,18,230,,
S01002407,240,Central,3812,17,230,,
S01005734,380,Strathclyde,3813,16,230,,
S01003169,260,Strathclyde,3814,48,230,,
S01001503,200,Strathclyde,3815,18,230,,
S01002014,230,Lothian and Borders,3816,19,230,,
S01006067,390,Central,3817,23,230,,
S01003623,260,Strathclyde,3818,20,230,,
S01006030,380,Strathclyde,3819,21,230,,
S01000161,100,Grampian,3820,23,230,,
S01000456,110,Grampian,3821,24,229,,
S01004573,320,Strathclyde,3822,14,229,,
S01006114,390,Central,3823,17,229,,
S01003558,260,Strathclyde,3824,23,229,,
S01004315,300,Grampian,3825,12,229,,
S01000751,130,Strathclyde,3826,16,228,,
S01000226,100,Grampian,3827,13,228,,
S01003691,260,Strathclyde,3828,22,228,,
S01004740,320,Strathclyde,3829,18,228,,
S01001618,210,Lothian and Borders,3830,21,228,,
S01000660,120,Tayside,3831,24,227,,
S01005070,340,Tayside,3832,25,227,,
S01001421,190,Strathclyde,3833,23,227,,
S01006467,400,Lothian and Borders,3834,18,227,,
S01000960,170,Dumfries & Galloway,3835,12,227,,
S01000765,130,Strathclyde,3836,16,227,,
S01002105,230,Lothian and Borders,3837,24,227,,
S01006462,400,Lothian and Borders,3838,18,227,,
S01001739,220,Strathclyde,3839,14,227,,
S01005844,380,Strathclyde,3840,16,227,,
S01005570,370,Strathclyde,3841,17,227,,
S01002150,230,Lothian and Borders,3842,16,227,,
S01005151,350,Strathclyde,3843,16,226,,
S01000802,130,Strathclyde,3844,16,226,,
S01001223,180,Tayside,3845,16,226,,
S01006469,400,Lothian and Borders,3846,15,226,,
S01003675,260,Strathclyde,3847,17,226,,
S01005206,350,Strathclyde,3848,21,226,,
S01001829,230,Lothian and Borders,3849,16,226,,
S01004687,320,Strathclyde,3850,24,226,,
S01001072,170,Dumfries & Galloway,3851,18,225,,
S01006426,400,Lothian and Borders,3852,25,225,,
S01002495,240,Central,3853,13,225,,
S01000235,100,Grampian,3854,21,225,,
S01002492,240,Central,3855,21,225,,
S01001855,230,Lothian and Borders,3856,18,225,,
S01001744,220,Strathclyde,3857,13,225,,
S01005390,355,Lothian and Borders,3858,18,225,,
S01002669,250,Fife,3859,22,225,,
S01003229,260,Strathclyde,3860,21,225,,
S01004212,290,Lothian and Borders,3861,31,225,,
S01002226,230,Lothian and Borders,3862,25,224,,
S01003053,260,Strathclyde,3863,26,224,,
S01003148,260,Strathclyde,3864,16,224,,
S01002041,230,Lothian and Borders,3865,23,224,,
S01003485,260,Strathclyde,3866,22,224,,
S01000470,110,Grampian,3867,23,224,,
S01006029,380,Strathclyde,3868,17,224,,
S01002137,230,Lothian and Borders,3869,20,224,,
S01000254,100,Grampian,3870,18,223,,
S01005744,380,Strathclyde,3871,22,223,,
S01001426,200,Strathclyde,3872,17,223,,
