id,postcode,latitude,longitude
1348971,DD11PE,56.458342947908200,-2.977093660774640
1348972,DD11PF,56.459129976288400,-2.977552008506350
1348973,DD11PG,56.461527562757600,-2.974286821680270
1348974,DD11PH,56.460912212302100,-2.973703082750460
1348975,DD11PJ,56.461199702310200,-2.977134575242470
1348976,DD11PN,56.461094482200600,-2.974519151715850
1348977,DD11PQ,56.461341600059800,-2.973941267323910
1348978,DD11PS,56.461023368686000,-2.976708116821420
1348979,DD11PT,56.458828477172300,-2.975905323239320
1348980,DD11PU,56.460748351479300,-2.976262902040510
1348981,DD11PW,56.460923998409800,-2.975634517093440
1348982,DD11PX,56.459840332783000,-2.976336966969990
1348983,DD11QA,56.459960495237900,-2.974765973783930
1348984,DD11QB,56.461380330491700,-2.975873414760300
1348985,DD11QN,56.458381704338000,-2.974449667515740
1348986,DD11QP,56.460326336492600,-2.977371787780230
1348987,DD11QR,56.458777386967900,-2.975547016740150
1348988,DD11RG,56.460854118022400,-2.970796788985920
1348989,DD11RH,56.461103095511300,-2.971127703907350
1348990,DD11RJ,56.461255166889100,-2.971212726520200
1348991,DD11RL,56.461267035757800,-2.971991980546100
1348992,DD11RP,56.460928192516900,-2.972810951482800
1348993,DD11RQ,56.463664148678800,-2.972215522356710
1348994,DD11RT,56.461583844523900,-2.971691737625220
1348995,DD11RW,56.460837347990300,-2.972938452241820
1348996,DD11RX,56.461832565417100,-2.972055115057970
1348997,DD11SA,56.460887155212700,-2.970018688884490
1348998,DD11SB,56.461174982600600,-2.969977343494510
1348999,DD11SD,56.461178658884800,-2.969506822177670
1349000,DD11SG,56.461045546496700,-2.970444656755310
1349001,DD11SH,56.461410792588700,-2.970843450781730
1349002,DD11SL,56.461651168058300,-2.971125466368190
1349003,DD11SP,56.461802350639700,-2.971324066149130
1349004,DD11SS,56.460650072380200,-2.969314845109210
1349005,DD11SW,56.461651168058300,-2.971125466368190
1349006,DD11SX,56.461023050864300,-2.968723910838920
1349007,DD11SZ,56.460167776856700,-2.970097713067880
1349008,DD11TA,56.459985839500000,-2.970385170664580
1349009,DD11TD,56.460930443479800,-2.967926380900250
1349010,DD11TF,56.461802350639700,-2.971324066149130
1349011,DD11TJ,56.461904172961100,-2.972089401605830
1349012,DD11TU,56.460060465718000,-2.971182227979490
1349013,DD11UE,56.459090446670500,-2.974581410404310
1349014,DD11UF,56.460028903974000,-2.972917777544400
1349015,DD11UG,56.459955515948900,-2.973110631888700
1349016,DD11UH,56.460312235682300,-2.971156199535770
1349017,DD11UL,56.460756450203600,-2.970648245380250
1349018,DD11UQ,56.460312235682300,-2.971156199535770
1349019,DD11UR,56.461770575883100,-2.971939932580640
1349021,DD11XA,56.462204063141300,-2.970506667271900
1349022,DD11XB,56.462204063141300,-2.970506667271900
1349066,DD12AA,56.461682334546100,-2.968286305979620
1349067,DD12AB,56.462123491805600,-2.969319930663370
1349068,DD12AD,56.465530601985400,-2.969065925008860
1349069,DD12AF,56.462398280416100,-2.969797562531700
1349070,DD12AJ,56.462133343159100,-2.970358806479340
1349071,DD12AP,56.461912199422500,-2.969914998375630
1349072,DD12AT,56.461374390023500,-2.968603031776920
1349073,DD12AZ,56.462376781729900,-2.969099183993140
1349074,DD12BB,56.463079587157200,-2.968841196601000
1349075,DD12BE,56.463175990250600,-2.969152002016950
1349076,DD12BG,56.463128035397500,-2.969540274740750
1349077,DD12BW,56.463378664176200,-2.969660265873420
1349078,DD12DB,56.463892453427500,-2.969446153114960
1349079,DD12EA,56.463048973851400,-2.968158803100640
1349080,DD12EE,56.462148043540900,-2.968476673362540
1349081,DD12EG,56.461543166437800,-2.967698546533360
1349082,DD12EH,56.462238756754900,-2.967213155562520
1349083,DD12EJ,56.462071755427700,-2.967890505822760
1349084,DD12EN,56.463044546067900,-2.967574450101160
1349085,DD12EQ,56.461908674499100,-2.968064869183080
1349086,DD12ER,56.462962683350600,-2.966549949659710
1349087,DD12ET,56.463284545007900,-2.966752875656680
1349088,DD12EU,56.463355016474600,-2.966933185923280
1349089,DD12EW,56.463044546067900,-2.967574450101160
1349090,DD12EX,56.463830089450100,-2.967075095693580
1349091,DD12EY,56.463584891708300,-2.966257405820670
1349092,DD12HB,56.463584891708300,-2.966257405820670
1349093,DD12HF,56.464034386960700,-2.965067854330530
1349094,DD12HP,56.463607756427800,-2.964472781973320
1349095,DD12HQ,56.464034386960700,-2.965067854330530
1349096,DD12HR,56.463427369932100,-2.965717845714800
1349097,DD12HS,56.463416505932200,-2.968265531471960
1349098,DD12HW,56.463656607762000,-2.965123186679620
